dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128.0,PRIMARY KEY,,,
mysql,sys,sys_config,value,2,varchar,128.0,,,,
mysql,sys,sys_config,set_time,3,timestamp,,,,,
mysql,sys,sys_config,set_by,4,varchar,128.0,,,,
mysql,untapped,analytics_distribution,id,1,int,,PRIMARY KEY,,,
mysql,untapped,analytics_distribution,games_id,2,int,,FOREIGN KEY,untapped,analytics_games,id
mysql,untapped,analytics_distribution,copies,3,int,,,,,
mysql,untapped,analytics_distribution,played,4,int,,,,,
mysql,untapped,analytics_distribution,created_on,5,datetime,,,,,
mysql,untapped,analytics_games,id,1,int,,PRIMARY KEY,,,
mysql,untapped,analytics_games,card_id,2,int,,FOREIGN KEY,untapped,card,id
mysql,untapped,analytics_games,tier,3,varchar,10.0,,,,
mysql,untapped,analytics_games,distinct_id,4,int,,FOREIGN KEY,untapped,distinct_games,id
mysql,untapped,analytics_games,games,5,int,,,,,
mysql,untapped,analytics_games,wins,6,int,,,,,
mysql,untapped,analytics_games,created_on,7,datetime,,,,,
mysql,untapped,card,id,1,int,,PRIMARY KEY,,,
mysql,untapped,card,art_link,2,varchar,100.0,UNIQUE,,,
mysql,untapped,card,set_id,3,varchar,3.0,FOREIGN KEY,untapped,set,id
mysql,untapped,card,title,4,varchar,100.0,UNIQUE,,,
mysql,untapped,card,rarity,5,text,65535.0,,,,
mysql,untapped,card,power,6,text,65535.0,,,,
mysql,untapped,card,toughness,7,text,65535.0,,,,
mysql,untapped,card,flavor,8,text,65535.0,,,,
mysql,untapped,card,is_legendary,9,tinyint,,,,,
mysql,untapped,card,is_token,10,tinyint,,,,,
mysql,untapped,card,is_secondary_card,11,tinyint,,,,,
mysql,untapped,card,is_rebalanced,12,tinyint,,,,,
mysql,untapped,card,created_on,13,datetime,,,,,
mysql,untapped,card_ability,id,1,int,,PRIMARY KEY,,,
mysql,untapped,card_ability,card_id,2,int,,FOREIGN KEY,untapped,card,id
mysql,untapped,card_ability,ability,3,text,65535.0,,,,
mysql,untapped,card_ability,created_on,4,datetime,,,,,
mysql,untapped,card_cost,id,1,int,,PRIMARY KEY,,,
mysql,untapped,card_cost,card_id,2,int,,FOREIGN KEY,untapped,card,id
mysql,untapped,card_cost,color,3,text,65535.0,,,,
mysql,untapped,card_cost,cost,4,int,,,,,
mysql,untapped,card_cost,created_on,5,datetime,,,,,
mysql,untapped,card_subtype,id,1,int,,PRIMARY KEY,,,
mysql,untapped,card_subtype,card_id,2,int,,FOREIGN KEY,untapped,card,id
mysql,untapped,card_subtype,subtype,3,text,65535.0,,,,
mysql,untapped,card_subtype,created_on,4,datetime,,,,,
mysql,untapped,card_type,id,1,int,,PRIMARY KEY,,,
mysql,untapped,card_type,card_id,2,int,,FOREIGN KEY,untapped,card,id
mysql,untapped,card_type,type,3,text,65535.0,,,,
mysql,untapped,card_type,created_on,4,datetime,,,,,
mysql,untapped,distinct_games,id,1,int,,PRIMARY KEY,,,
mysql,untapped,distinct_games,tier,2,varchar,10.0,,,,
mysql,untapped,distinct_games,total,3,int,,,,,
mysql,untapped,distinct_games,created_on,4,datetime,,,,,
mysql,untapped,set,id,1,varchar,3.0,PRIMARY KEY,,,
mysql,untapped,set,created_on,2,datetime,,,,,
mysql,untapped,set,rotated_on,3,datetime,,,,,
